code,name,pcode
R101-003000101-0000,기장_도정_생것,1003.0
R101-003010101-0000,기장_찰기장_도정_생것,1003.0
R101-003020101-0000,기장_찰기장+이백찰_도정_생것,1003.0
R101-003030101-0000,기장_찰기장+한라찰_도정_생것,1003.0
R101-003040101-0000,기장_찰기장+황실찰_도정_생것,1003.0
R101-004000101-0000,메밀_도정_생것,1004.0
R101-004000106-0000,메밀_도정_분말화한것,1004.0
R101-005000001-0000,메밀 국수_생것,1005.0
R101-005000002-0000,메밀 국수_말린것,1005.0
R101-005000046-0000,메밀 국수_삶은것,1005.0
R101-005000083-0000,메밀 국수_말린것을 삶은것,1005.0
R101-006000002-0000,메밀 냉면_말린것,1006.0
R101-006000083-0000,메밀 냉면_말린것을 삶은것,1006.0
R101-007000001-0000,메밀묵_생것,1007.0
R101-007000006-0000,메밀묵_분말화한것,1007.0
R101-008000201-0000,멥쌀_배아_생것,1008.0
R101-008000301-0000,멥쌀_백미_생것,1008.0
R101-001010101-0000,귀리_겉귀리_도정_생것,1001.0
R101-001020101-0000,귀리_쌀귀리_도정_생것,1001.0
R101-001030101-0000,귀리_쌀귀리+대양_도정_생것,1001.0
R101-001040101-0000,귀리_쌀귀리+조양_도정_생것,1001.0
R102-007010046-0000,당면_고구마_삶은것,2007.0
R102-007020002-0000,당면_고구마+감자_말린것,2007.0
R102-009000006-0000,곤약(구약나물)_분말화한것,2009.0
R102-009020001-0000,곤약(구약나물)_판형_생것,2009.0
R102-010000001-0000,돼지감자_생것,2010.0
R102-010000002-0000,돼지감자_말린것,2010.0
R102-010000046-0000,돼지감자_삶은것,2010.0
R102-011010001-0000,마_단마_생것,2011.0
R102-011030001-0000,마_장마_생것,2011.0
R102-011030046-0000,마_장마_삶은것,2011.0
R102-011040001-0000,마_둥근마_생것,2011.0
R102-012000001-0000,아피오스감자_생것,2012.0
R102-014010006-0000,전분_감자_분말화한것,2014.0
R102-014020006-0000,전분_고구마_분말화한것,2014.0
R102-014030006-0000,전분_밀_분말화한것,2014.0
R102-014040006-0000,전분_쌀_분말화한것,2014.0
R102-014050006-0000,전분_옥수수_분말화한것,2014.0
R102-006000001-0000,고구마_생것,2006.0
R102-006000002-0000,고구마_말린것,2006.0
R102-006000049-0000,고구마_찐것,2006.0
R102-006000050-0000,고구마_구운것,2006.0
R102-006067201-0000,고구마_신율미_껍질제거_생것,2006.0
R102-006070001-0000,고구마_신자미_생것,2006.0
R102-006080001-0000,고구마_연황미_생것,2006.0
R102-006100001-0000,고구마_주황미_생것,2006.0
R102-006110001-0000,고구마_진홍미_생것,2006.0
R102-006150001-0000,고구마_분질(밤) 고구마_생것,2006.0
R102-006150049-0000,고구마_분질(밤) 고구마_찐것,2006.0
R102-006150050-0000,고구마_분질(밤) 고구마_구운것,2006.0
R102-006160001-0000,고구마_점질(호박) 고구마_생것,2006.0
R102-006160049-0000,고구마_점질(호박) 고구마_찐것,2006.0
R102-006160050-0000,고구마_점질(호박) 고구마_구운것,2006.0
R102-006177201-0000,고구마_베니하루까_껍질제거_생것,2006.0
R102-007010002-0000,당면_고구마_말린것,2007.0
R101-034000100-0000,율무밥_도정,1034.0
R102-001060001-0000,감자_대지_생것,2001.0
R102-001060046-0000,감자_대지_삶은것,2001.0
R102-001060049-0000,감자_대지_찐것,2001.0
R102-001060050-0000,감자_대지_구운것,2001.0
R102-001140001-0000,감자_수미_생것,2001.0
R102-001140046-0000,감자_수미_삶은것,2001.0
R102-001140049-0000,감자_수미_찐것,2001.0
R102-001140050-0000,감자_수미_구운것,2001.0
R102-001180001-0000,감자_자색_생것,2001.0
R102-001180049-0000,감자_자색_찐것,2001.0
R102-001190001-0000,감자_자심_생것,2001.0
R102-001210001-0000,감자_보라밸리_생것,2001.0
R102-001210046-0000,감자_보라밸리_삶은것,2001.0
R102-001220001-0000,감자_로즈밸리_생것,2001.0
R102-001220046-0000,감자_로즈밸리_삶은것,2001.0
R102-005000000-0000,으깬감자,2005.0
R101-038180501-0000,찹쌀_보람찰_현미_생것,1038.0
R101-038190701-0000,찹쌀_눈큰흑찰1호_흑미_생것,1038.0
R101-038200701-0000,찹쌀_조생흑찰_흑미_생것,1038.0
R101-040010002-0000,찹쌀 국수_흑미찰국수_말린것,1040.0
R101-043010101-0000,피_IEC525(NO.5)_도정_생것,1043.0
R101-044000006-0000,호밀_분말화한것,1044.0
