code,name,pcode
D301-018340000-0001,비빔밥_약초,1018.0
D301-019040000-0001,삼각김밥_고추장불고기,1019.0
D301-019320000-0001,삼각김밥_숯불갈비,1019.0
D301-019460000-0001,삼각김밥_참치마요네즈,1019.0
D301-020000000-0001,새우튀김롤,1020.0
D301-022000000-0001,쌀밥,1022.0
D301-023000000-0001,알밥_간편조리세트_갑오징어알뚝밥,1023.0
D301-024000000-0001,연어롤,1024.0
D301-025000000-0001,연잎밥,1025.0
D301-027000000-0001,오곡밥,1027.0
D301-031000000-0001,자장밥,1031.0
D301-034000000-0001,잡탕밥,1034.0
D301-035190000-0001,주먹밥_멸치,1035.0
D301-036390000-0001,짜장밥_오징어,1036.0
D301-042050000-0001,초밥_광어,1042.0
D301-042100000-0001,초밥_농어,1042.0
D301-042200000-0001,초밥_모듬,1042.0
D301-042220000-0001,초밥_문어,1042.0
D301-042260000-0001,초밥_새우,1042.0
D220-752000000-0110,허브차_페퍼민트 아이스(ICED) (L),20752.0
D220-752000000-0111,허브차_페퍼민트 아이스(ICED) (M),20752.0
D220-752000000-0112,허브차_페퍼민트 아이스(ICED) (R),20752.0
D220-752000000-0113,허브차_페퍼민트 핫(HOT)[달콤],20752.0
D220-752000000-0114,허브차_페퍼민트 핫(HOT)[바나프레소],20752.0
D220-752000000-0115,허브차_페퍼민트 핫(HOT) (L),20752.0
D220-752000000-0116,허브차_페퍼민트 핫(HOT) (M),20752.0
D220-752000000-0117,허브차_페퍼민트 핫(HOT) (R),20752.0
D220-752000000-0118,허브차_페퍼민트티 아이스(ICED),20752.0
D220-752000000-0119,허브차_페퍼민트티 핫(HOT),20752.0
D220-752000000-0120,허브차_허브티 아이스(ICED),20752.0
D220-752000000-0121,허브차_허브티 핫(HOT),20752.0
D220-752000000-0122,허브차_히비스커스 아이스(ICED),20752.0
D220-752000000-0123,허브차_히비스커스 아이스(ICED) (R),20752.0
D220-752000000-0124,허브차_히비스커스 핫(HOT),20752.0
D220-752000000-0125,허브차_히비스커스 핫(HOT) (R),20752.0
D220-753000000-0001,홍차_머스캣 블렌드티 아이스(ICED) (L),20753.0
D220-753000000-0002,홍차_머스캣 블렌드티 핫(HOT) (L),20753.0
D220-753000000-0003,홍차_머스캣,20753.0
D220-752000000-0091,허브차_캐모마일,20752.0
D220-752000000-0092,허브차_캐모마일 아이스(ICED)[달콤],20752.0
D220-752000000-0093,허브차_캐모마일 아이스(ICED)[바나프레소],20752.0
D220-752000000-0094,허브차_캐모마일 아이스(ICED) (R),20752.0
D220-752000000-0095,허브차_캐모마일 핫(HOT)[달콤],20752.0
D220-752000000-0096,허브차_캐모마일 핫(HOT)[바나프레소],20752.0
D220-752000000-0097,허브차_캐모마일 핫(HOT)[팔공티],20752.0
D220-752000000-0098,허브차_캐모마일 핫(HOT) (R),20752.0
D220-752000000-0099,허브차_캐모마일티 아이스(ICED)[매머드 익스프레스],20752.0
D220-752000000-0100,허브차_캐모마일티 아이스(ICED)[팔공티],20752.0
D220-752000000-0101,허브차_캐모마일티 핫(HOT),20752.0
D220-752000000-0102,허브차_쿨 허벌티 아이스(ICED),20752.0
D220-752000000-0103,허브차_쿨 허벌티 핫(HOT),20752.0
D220-752000000-0104,허브차_크림얼그레이티 아이스(ICED),20752.0
D220-752000000-0105,허브차_크림얼그레이티 핫(HOT),20752.0
D220-752000000-0106,허브차_페퍼민트[청자다방],20752.0
D220-752000000-0107,허브차_페퍼민트[카페루앤비],20752.0
D220-752000000-0108,허브차_페퍼민트 아이스(ICED)[달콤],20752.0
D220-752000000-0109,허브차_페퍼민트 아이스(ICED)[바나프레소],20752.0
D220-752000000-0072,허브차_퓨어페퍼민트 핫(HOT),20752.0
D220-752000000-0073,허브차_허브티 아이스(ICED),20752.0
D220-752000000-0074,허브차_허브티 핫(HOT),20752.0
D220-752000000-0075,허브차_히비스커스 블렌드티 아이스(ICED) (L),20752.0
D220-752000000-0076,허브차_히비스커스 블렌드티 아이스(ICED) (Tall),20752.0
D220-752000000-0077,허브차_히비스커스 블렌드티 핫(HOT) (L),20752.0
D220-752000000-0078,허브차_히비스커스 블렌드티 핫(HOT) (Tall),20752.0
D220-752000000-0079,허브차_레몬밤,20752.0
D220-752000000-0080,허브차_레몬밤 민트티 아이스(ICED),20752.0
D220-752000000-0081,허브차_레몬밤 민트티 핫(HOT),20752.0
D220-752000000-0082,허브차_루이보스 아이스(ICED)[달콤],20752.0
D220-752000000-0083,허브차_루이보스 아이스(ICED)[베러댄와플],20752.0
D220-752000000-0084,허브차_루이보스 핫(HOT)[달콤],20752.0
D220-752000000-0085,허브차_루이보스 핫(HOT)[베러댄와플],20752.0
D220-752000000-0086,허브차_카모마일 아이스(ICED) (L),20752.0
D220-752000000-0087,허브차_카모마일 아이스(ICED) (M),20752.0
D220-752000000-0088,허브차_카모마일 핫(HOT) (L),20752.0
D220-752000000-0089,허브차_카모마일 핫(HOT) (M),20752.0
D220-752000000-0090,허브차_캐모마일,20752.0
D220-752000000-0053,허브차_크림슨 펀치 핫(HOT),20752.0
D220-752000000-0054,허브차_페어진저 아이스(ICED),20752.0
D220-752000000-0055,허브차_페어진저 핫(HOT),20752.0
D220-752000000-0056,허브차_페퍼민트 아이스(ICED)[메가커피],20752.0
D220-752000000-0057,허브차_페퍼민트 아이스(ICED)[커피에반하다],20752.0
D220-752000000-0058,허브차_페퍼민트 아이스(ICED)[토프레소],20752.0
D220-752000000-0059,허브차_페퍼민트 아이스(ICED)[할리스],20752.0
D220-752000000-0060,허브차_페퍼민트티 아이스(ICED) (L),20752.0
D220-752000000-0061,허브차_페퍼민트티 핫(HOT) (L),20752.0
D220-752000000-0062,허브차_페퍼민트 핫(HOT)[메가커피],20752.0
D220-752000000-0063,허브차_페퍼민트 핫(HOT)[커피에반하다],20752.0
D220-752000000-0064,허브차_페퍼민트 핫(HOT)[토프레소],20752.0
D220-752000000-0065,허브차_페퍼민트 핫(HOT)[할리스],20752.0
D220-752000000-0066,허브차_페퍼민트[드롭탑],20752.0
D220-752000000-0067,허브차_페퍼민트[요거프레소],20752.0
D220-752000000-0068,허브차_페퍼민트[커피베이],20752.0
D220-752000000-0069,허브차_페퍼민트티 아이스(ICED),20752.0
D220-752000000-0070,허브차_페퍼민트티 핫(HOT),20752.0
D220-752000000-0071,허브차_퓨어페퍼민트 아이스(ICED),20752.0
D220-752000000-0034,허브차_캐모마일 블렌드티 핫(HOT) (Tall),20752.0
D220-752000000-0035,허브차_캐모마일 아이스(ICED)[메가커피],20752.0
D220-752000000-0036,허브차_캐모마일 아이스(ICED)[커피에반하다],20752.0
D220-752000000-0037,허브차_캐모마일 아이스(ICED)[토프레소],20752.0
D220-752000000-0038,허브차_캐모마일 아이스(ICED)[할리스],20752.0
D220-752000000-0039,허브차_캐모마일티 아이스(ICED) (L),20752.0
D220-752000000-0040,허브차_캐모마일티 핫(HOT) (L),20752.0
D220-752000000-0041,허브차_캐모마일 핫(HOT)[메가커피],20752.0
D220-752000000-0042,허브차_캐모마일 핫(HOT)[커피에반하다],20752.0
D220-752000000-0043,허브차_캐모마일 핫(HOT)[토프레소],20752.0
D220-752000000-0044,허브차_캐모마일 핫(HOT)[할리스],20752.0
D220-752000000-0045,허브차_캐모마일[드롭탑],20752.0
D220-752000000-0046,허브차_캐모마일[요거프레소],20752.0
D220-752000000-0047,허브차_캐모마일[커피베이],20752.0
D220-752000000-0048,허브차_커즈마인 아이스(ICED) (L),20752.0
D220-752000000-0049,허브차_커즈마인 핫(HOT) (L),20752.0
D220-752000000-0050,허브차_쿨민트 아이스(ICED),20752.0
D220-752000000-0051,허브차_쿨민트 핫(HOT),20752.0
D220-752000000-0052,허브차_크림슨 펀치 아이스(ICED),20752.0
D220-752000000-0015,허브차_민트 블렌드티 아이스(ICED) (Tall),20752.0
D220-752000000-0016,허브차_민트 블렌드티 핫(HOT) (Tall),20752.0
D220-752000000-0017,허브차_민트 아이스(ICED) (L),20752.0
D220-752000000-0018,허브차_민트 핫(HOT) (L),20752.0
D220-752000000-0019,허브차_민트크루 아이스(ICED) (L),20752.0
D220-752000000-0020,허브차_민트크루 핫(HOT) (L),20752.0
D220-752000000-0021,허브차_샤인히비스커스 아이스(ICED),20752.0
D220-752000000-0022,허브차_샤인히비스커스 핫(HOT),20752.0
D220-752000000-0023,허브차_스위트후르츠 아이스(ICED),20752.0
D220-752000000-0024,허브차_스위트후르츠 핫(HOT),20752.0
D220-752000000-0025,허브차_스프링캐모마일 아이스(ICED),20752.0
D220-752000000-0026,허브차_스프링캐모마일 핫(HOT),20752.0
D220-752000000-0027,허브차_시나몬 진저티,20752.0
D220-752000000-0028,허브차_오렌지 보스 아이스(ICED) (L),20752.0
D220-752000000-0029,허브차_오렌지 보스 핫(HOT) (L),20752.0
D220-752000000-0030,허브차_유러피안 후르츠,20752.0
D220-752000000-0031,허브차_카모마일 아이스(ICED) (L),20752.0
D220-752000000-0032,허브차_카모마일 핫(HOT) (L),20752.0
D220-752000000-0033,허브차_캐모마일 블렌드티 아이스(ICED) (Tall),20752.0
D220-751000000-0006,탄산음료_패션 탱고티 레모네이드 피지오 (Tall),20751.0
D220-751000000-0007,탄산음료_슬림 깔라만시 탄산수,20751.0
D220-751000000-0008,탄산음료_슬림 청포도 탄산수,20751.0
D220-751000000-0009,탄산음료_체리팡팡 아이스(ICED) (L),20751.0
D220-751000000-0010,탄산음료_파인소다 아이스(ICED) (L),20751.0
D220-752000000-0001,허브차_감잎차 아이스(ICED) (L),20752.0
D220-752000000-0002,허브차_감잎차 핫(HOT) (L),20752.0
D220-752000000-0003,허브차_국화차 아이스(ICED) (L),20752.0
D220-752000000-0004,허브차_국화차 핫(HOT) (L),20752.0
D220-752000000-0005,허브차_그린루이보스 아이스(ICED),20752.0
D220-752000000-0006,허브차_그린루이보스 핫(HOT),20752.0
D220-752000000-0007,허브차_레몬 사과 블렌드티 아이스(ICED) (L),20752.0
D220-752000000-0008,허브차_레몬 사과 블렌드티 핫(HOT) (L),20752.0
D220-752000000-0009,허브차_로얄 캐모마일 아이스(ICED),20752.0
D220-752000000-0010,허브차_로얄 캐모마일 핫(HOT),20752.0
D220-752000000-0011,허브차_루이보스 레몬,20752.0
D220-752000000-0012,허브차_루이보스 슈가플럼,20752.0
D220-752000000-0013,허브차_루이보스오렌지 아이스(ICED),20752.0
D220-752000000-0014,허브차_루이보스오렌지 핫(HOT),20752.0
D220-749000000-0011,코코아_핫 초콜릿 (L),20749.0
D220-749000000-0012,코코아_핫 초콜릿 (R),20749.0
D220-749000000-0013,코코아_핫초코 아이스(ICED),20749.0
D220-749000000-0014,코코아_초코 핫(HOT),20749.0
D220-749000000-0015,코코아_핫초코 핫(HOT)[엔제리너스],20749.0
D220-749000000-0016,코코아_핫초코 핫(HOT)[할리스],20749.0
D220-749000000-0017,코코아_화이트초코 아이스(ICED),20749.0
D220-749000000-0018,코코아_화이트초코 핫(HOT),20749.0
D220-750000000-0001,콤부차_애플 히비스커스 콤부차 (L),20750.0
D220-750000000-0002,콤부차_애플 히비스커스 콤부차 (V),20750.0
D220-750000000-0003,콤부차_애플망고 콤부차 (L),20750.0
D220-750000000-0004,콤부차_애플망고 콤부차 (V),20750.0
D220-750000000-0006,콤부차_플레인 콤부차 (L),20750.0
D220-750000000-0007,콤부차_플레인 콤부차 (V),20750.0
D220-751000000-0001,탄산음료_블랙티 레모네이드 피지오 (Tall),20751.0
D220-751000000-0002,탄산음료_블루캔디소다 아이스(ICED),20751.0
D220-751000000-0003,탄산음료_유자 패션 피지오 (Tall),20751.0
D220-751000000-0004,탄산음료_체리콕콕 아이스(ICED),20751.0
D220-751000000-0005,탄산음료_쿨 라임 피지오 (Tall),20751.0
D220-748000000-1172,커피_헤이즐넛 라떼 핫(HOT) (L),20748.0
D220-748000000-1173,커피_헤이즐넛 라떼 핫(HOT) (M),20748.0
D220-748000000-1174,커피_헤이즐넛아메리카노 아이스(ICED),20748.0
D220-748000000-1175,커피_헤이즐넛아메리카노 핫(HOT),20748.0
D220-748000000-1176,커피_헥사메리카노 아이스(ICED),20748.0
D220-748000000-1177,커피_헥사메리카노 핫(HOT),20748.0
D220-748000000-1178,커피_흑당 아인슈페너 아이스(ICED),20748.0
D220-748000000-1179,커피_흑당 아인슈페너 핫(HOT),20748.0
D220-748000000-1180,커피_흑당커피 아이스(ICED) (M),20748.0
D220-749000000-0001,코코아_시그니처 초콜릿 아이스(ICED) (Tall),20749.0
D220-749000000-0002,코코아_시그니처 초콜릿 핫(HOT) (Tall),20749.0
D220-749000000-0003,코코아_아이스 초코 아이스(ICED),20749.0
D220-749000000-0004,코코아_아이스 초콜릿 (L),20749.0
D220-749000000-0005,코코아_아이스 초콜릿 (R),20749.0
D220-749000000-0006,코코아_초코 아이스(ICED),20749.0
D220-749000000-0007,코코아_아이스초코 아이스(ICED),20749.0
D220-749000000-0008,코코아_플러피 판다 초콜릿 아이스(ICED) (Grande),20749.0
