code,name,pcode
P123-224020300-0112,불고기브리또[(주)테이트],23224.0
P123-224020300-0113,불고기브리또[구스에프앤비(주)],23224.0
P123-224020300-0114,불고기브리또[대풍년푸드(주)],23224.0
P123-224020300-0115,불고기치아바타,23224.0
P123-224020300-0116,불고기크림브리또,23224.0
P123-224020300-0117,브리또비프&할라피뇨(냉동),23224.0
P123-224020300-0084,머스타드치킨브리또,23224.0
P123-224020300-0085,먹물치킨치아바타라운드,23224.0
P123-224020300-0086,메종드블랑샌드위치햄치즈(냉동),23224.0
P123-224020300-0087,멕시칸라이스브리또,23224.0
P123-224020300-0088,멕시칸바베큐치킨브리또,23224.0
P123-224020300-0091,모닝에그베이컨브리또,23224.0
P123-224020300-0092,모짜렐라브리또비프&할라피뇨,23224.0
P123-224020300-0093,모짜렐라브리또비프할라피뇨(냉동),23224.0
P123-224020300-0094,모짜렐라브리또스위트치킨텐더,23224.0
P123-224020300-0095,모짜렐라브리또스위트치킨텐더(냉동),23224.0
P123-224020300-0096,모짜렐라브리또스파이시핫포크,23224.0
P123-224020300-0097,모짜렐라브리또에그토마토치킨,23224.0
P123-224020300-0098,모짜렐라브리또칠리&치킨브레스트,23224.0
P123-224020300-0099,모짜렐라브리또콰트로치즈고구마무스,23224.0
P123-224020300-0100,모짜렐라토마토브리또,23224.0
P123-224020300-0101,모짜햄치즈파니니,23224.0
P123-224020300-0068,리코파인치즈샌드위치,23224.0
P123-224020300-0069,맛있닭닭가슴살소시지한끼브리또갈릭,23224.0
P123-224020300-0070,맛있닭닭가슴살소시지한끼브리또매콤바베큐,23224.0
P123-224020300-0071,맛있닭닭가슴살소시지한끼브리또칠리,23224.0
P123-224020300-0072,맛있닭닭가슴살한끼머핀치즈,23224.0
P123-224020300-0073,맛있닭닭가슴살한끼브리또,23224.0
P123-224020300-0074,맛있닭닭가슴살한끼브리또갈릭,23224.0
P123-224020300-0075,매콤달콤치킨치아바타,23224.0
P123-224020300-0076,매콤바베큐브리또,23224.0
P123-224020300-0077,매콤치즈불고기치아바타,23224.0
P123-224020300-0078,매콤치킨브리또,23224.0
P123-224020300-0079,매콤피자더블치즈치아바타,23224.0
P123-224020300-0080,매콤한치킨브리또,23224.0
P123-224020300-0081,매콤핫치킨브리또,23224.0
P123-224020300-0082,머스타드브리또,23224.0
P123-224020300-0083,머스타드치킨랩샌드위치,23224.0
P123-224020300-0052,닭가슴살든든브리또오리지널,23224.0
P123-224020300-0053,닭가슴살소시지브리또,23224.0
P123-224020300-0054,닭가슴살한입브리또고구마치즈,23224.0
P123-224020300-0055,더벤티삼각빵,23224.0
P123-224020300-0056,더블치즈살라미파니니,23224.0
P123-224020300-0057,더블치즈햄치아바타,23224.0
P123-224020300-0058,데리마요치킨치즈치아바타,23224.0
P123-224020300-0059,딥치킨커리브리또,23224.0
P123-224020300-0060,라즈베리샌드,23224.0
P123-224020300-0061,라쿠치나치킨브리또,23224.0
P123-224020300-0062,리코갈릭베이컨샌드위치,23224.0
P123-224020300-0063,리코불고기베이크샌드위치,23224.0
P123-224020300-0064,리코스파이시크랩샌드위치,23224.0
P123-224020300-0065,리코올리브머쉬룸샌드위치,23224.0
P123-224020300-0066,리코치즈인더치즈샌드위치,23224.0
P123-224020300-0067,리코치킨베이크샌드위치,23224.0
P123-224020300-0034,고르곤졸라불고기퀘사디아,23224.0
P123-224020300-0035,곤약브리또바비큐,23224.0
P123-224020300-0036,곤약브리또핫치킨,23224.0
P123-224020300-0038,교촌닭가슴살브리또단짠콤보,23224.0
P123-224020300-0039,교촌닭가슴살브리또매운치킨하와이안,23224.0
P123-224020300-0040,교촌닭가슴살브리또매콤오리지널,23224.0
P123-224020300-0042,그릴드치킨치아바타,23224.0
P123-224020300-0043,그릴드치킨치아바타샌드위치,23224.0
P123-224020300-0044,까르보나라치킨브리또,23224.0
P123-224020300-0045,녹차치아바타샌드위치(치킨브레스트&머쉬룸),23224.0
P123-224020300-0046,뉴비프브리또,23224.0
P123-224020300-0047,뉴핫치킨브리또,23224.0
P123-224020300-0048,단짠불고기파니니,23224.0
P123-224020300-0049,달콤머스타드치킨치즈브리또,23224.0
P123-224020300-0050,닭가슴살든든브리또믹스치즈,23224.0
P123-224020300-0051,닭가슴살든든브리또불닭맛,23224.0
P123-224020300-0017,NEW베이컨햄치즈크로와상,23224.0
P123-224020300-0018,NEW블루베리크림치즈샌드위치,23224.0
P123-224020300-0019,NEW어니언베이컨체다치아바타,23224.0
P123-224020300-0020,NEW에그베이컨크로와상,23224.0
P123-224020300-0021,NEW에그소시지크로와상,23224.0
P123-224020300-0022,NEW올리브타페나드포카치아,23224.0
P123-224020300-0023,NEW잉글리쉬머핀,23224.0
P123-224020300-0024,NEW치킨데리야끼파니니,23224.0
P123-224020300-0025,NEW포테이토크로와상,23224.0
P123-224020300-0026,NEW핫스파이시치킨파니니,23224.0
P123-224020300-0027,NEW햄&모짜렐라치즈파니니,23224.0
P123-224020300-0028,NEW햄치즈&에그샌드위치,23224.0
P123-224020300-0029,갈릭딥핑트리플치즈치아바타,23224.0
P123-224020300-0031,감자&에그베이컨부리또,23224.0
P123-224020300-0032,갓군샌통까스,23224.0
P123-224020300-0033,고구마치즈브리또,23224.0
P123-225020300-0015,한컵피자콤비네이션,23225.0
P123-225020300-0016,zip pizza 밀키트,23225.0
P123-225020300-0017,떠먹는 치킨피자,23225.0
P123-225020300-0018,비바쿡 피자볼,23225.0
P123-225020300-0019,"불고기 피자(냉동, 전자레인지 조리)",23225.0
P123-225020300-0020,"콤비네이션 피자(냉동, 전자레인지 조리)",23225.0
P123-225020300-0021,떠먹는고구마피자,23225.0
P123-225020300-0022,떠먹는콤비네이션피자,23225.0
P123-225020300-0023,떠먹는파이브치즈피자[(주)원푸드림 주촌지점],23225.0
P123-225020300-0024,떠먹는파이브치즈피자[(주)푸드플래닛],23225.0
P123-225020300-0025,써머콘떠먹는피자,23225.0
P123-226020100-0001,[과일애)한번에과채.(비트사과당근),23226.0
P123-226020100-0002,[과일애)한번에과채.(비트사과오렌지),23226.0
P123-226020100-0003,[과일애)한번에과채.(아보카도오렌지파인애플),23226.0
P123-226020100-0004,[과일애)한번에과채.(파인애플오렌지샐러리),23226.0
P123-226020100-0005,[모닝후르츠)퀵굿모닝,23226.0
P123-224020300-0321,햄에그베이글샌드,23224.0
P123-224020300-0322,햄치즈샌드,23224.0
P123-225020300-0001,DIY미니피자만들기세트,23225.0
P123-225020300-0002,끝판왕컵피자불고기,23225.0
P123-225020300-0003,끝판왕컵피자콤비네이션,23225.0
P123-225020300-0004,닭가슴살한입브리또피자,23225.0
P123-225020300-0005,떠먹는B.B.Q치킨피자,23225.0
P123-225020300-0006,떠먹는페퍼로니피자,23225.0
P123-225020300-0007,떠먹는포테이토소시지피자,23225.0
P123-225020300-0008,리얼스테이크피자,23225.0
P123-225020300-0009,맥앤피자,23225.0
P123-225020300-0010,베이글피자,23225.0
P123-225020300-0011,참맛있는피자리오,23225.0
P123-225020300-0012,페퍼로니떠먹는피자,23225.0
P123-225020300-0013,한컵피자매콤치킨,23225.0
P123-225020300-0014,한컵피자불고기,23225.0
P123-302030100-0369,삼치만두,23302.0
P123-224020300-0305,전주비빔 K-PPOKI 치즈맛,23224.0
P123-224020300-0306,치킨 파히타 브리또,23224.0
P123-224020300-0307,치킨브레스트 쌀베이글 샌드위치,23224.0
P123-224020300-0308,카야샌드,23224.0
P123-224020300-0309,콘치즈부리또,23224.0
P123-224020300-0310,콤비네이션 피자 브리또,23224.0
P123-224020300-0311,콤비네이션부리또,23224.0
P123-224020300-0312,탄단지 523 치킨브레스트 쌀베이글,23224.0
P123-224020300-0313,통밀당 브리또 불고기,23224.0
P123-224020300-0314,트리플치즈치킨 퀘사디아[(주)에이치에스식품],23224.0
P123-224020300-0315,트리플치즈치킨 퀘사디아[존쿡 쉐프의 키친(Johncook chef’s kitchen)],23224.0
P123-224020300-0316,페파로니치즈 파니니,23224.0
P123-224020300-0317,페퍼로니 콤비 치아바타 샌드위치,23224.0
P123-224020300-0318,포실핑의 비프 치즈 라이스랩,23224.0
P123-224020300-0319,필리치즈부리또,23224.0
P123-224020300-0320,핫치킨치즈부리또,23224.0
P123-224020300-0283,뚱실불고기랩[(주)원푸드림 주촌지점],23224.0
P123-224020300-0284,뚱실불고기랩[(주)푸드플래닛],23224.0
P123-224020300-0285,뚱실핫치킨랩[(주)푸드플래닛],23224.0
P123-224020300-0286,뚱실핫치킨랩[(주)원푸드림 주촌지점],23224.0
P123-224020300-0287,라즈베리샌드,23224.0
P123-224020300-0288,멕시칸 불고기 브리또,23224.0
P123-224020300-0289,멕시칸미트부리또,23224.0
P123-224020300-0290,무화과넛츠크치베,23224.0
P123-224020300-0291,미니 불고기 샌드위치,23224.0
P123-224020300-0292,미트칠리 브리또,23224.0
P123-224020300-0293,바삭불고기 퀘사디아,23224.0
P123-224020300-0300,소불고기 쌀베이글 샌드위치,23224.0
P123-224020300-0301,스파이시 잠봉 돌보로 샌드위치,23224.0
P123-224020300-0302,앙버터샌드위치,23224.0
P123-224020300-0303,잠봉 & 에멘탈 크루아상 샌드위치,23224.0
P123-224020300-0304,잠봉뵈르 샌드위치,23224.0
P123-224020300-0267,피자토스트 스틱,23224.0
P123-224020300-0268,피자토스트by플레인,23224.0
P123-224020300-0269,핫치킨&딥치즈 치아바타 샌드위치,23224.0
P123-224020300-0270,햄치즈토스트 스틱,23224.0
P123-224020300-0271,햄치즈토스트by플레인,23224.0
P123-224020300-0272,MEGA햄치즈샌드(냉동),23224.0
P123-224020300-0273,THE 도톰 떡갈비 브리또,23224.0
P123-224020300-0274,X2딸기크림샌드,23224.0
P123-224020300-0275,고구마치즈부리또,23224.0
P123-224020300-0276,까르보치킨 파니니,23224.0
P123-224020300-0277,나성타코 돼지고기 퀘사디아,23224.0
P123-224020300-0278,나성타코 소고기 퀘사디아,23224.0
P123-224020300-0279,단백 두부랩,23224.0
P123-224020300-0280,달콤 미트볼 칠리 치즈 샌드위치,23224.0
P123-224020300-0281,대파베이컨크치베,23224.0
P123-224020300-0282,더블햄 X2 치즈샌드,23224.0
P123-224020300-0251,삼색샌드(냉동),23224.0
P123-224020300-0252,샐러드셀러 감자베이컨 샌드위치,23224.0
P123-224020300-0253,샐러드셀러 고구마모짜렐라 샌드위치,23224.0
P123-224020300-0254,소고기가지치아바타,23224.0
P123-224020300-0255,숯불불고기 토스트 스틱,23224.0
P123-224020300-0256,숯불불고기토스트by플레인,23224.0
P123-224020300-0257,스모어 토스트 스틱,23224.0
P123-224020300-0258,식물성 라구 소시지 치아바타 샌드위치,23224.0
P123-224020300-0259,에그베이컨 크루아상 샌드위치,23224.0
P123-224020300-0260,에그햄치즈토스트by플레인,23224.0
P123-224020300-0261,잠봉뵈르 바게트,23224.0
P123-224020300-0262,치킨시져랩샌드위치,23224.0
P123-224020300-0263,카야토스트 by플레인,23224.0
P123-224020300-0264,팥-인절미 토스트 스틱,23224.0
P123-224020300-0265,풀플레이트 잉글리쉬머핀 샌드위치,23224.0
P123-224020300-0266,피넛크림&딸기 샌드,23224.0
P123-224020300-0235,마르게리따 치킨 파니니,23224.0
P123-224020300-0236,멕시칸파니니,23224.0
P123-224020300-0237,미니 매콤피자 샌드위치,23224.0
P123-224020300-0238,미니 바질 샌드위치,23224.0
P123-224020300-0239,미니 생모짜 샌드위치,23224.0
P123-224020300-0240,미니 체다앤모짜 샌드위치,23224.0
P123-224020300-0241,미니 크림 불고기 샌드위치,23224.0
P123-224020300-0242,미니 햄치즈 샌드위치,23224.0
P123-224020300-0243,미트볼 칠리 치즈 바게트,23224.0
P123-224020300-0244,바나프레소 불고기쌀바게트,23224.0
P123-224020300-0245,바나프레소 제육쌀바게트,23224.0
P123-224020300-0246,불고기 치아바타 샌드위치[에스엘비코리아(주)],23224.0
P123-224020300-0247,불고기 치아바타 샌드위치[존쿡 쉐프의 키친(Johncook chef’s kitchen)],23224.0
P123-224020300-0248,불고기 크림 바게트,23224.0
P123-224020300-0249,브리오슈 토마토 미트볼 샌드위치,23224.0
P123-224020300-0250,비프 필리 치즈 샌드위치,23224.0
P123-224020300-0219,잇츠베러 프로틴 풀드바비큐 베이글 샌드위치,23224.0
P123-224020300-0220,제주 풀드 포크 소프트 바게트번,23224.0
P123-224020300-0221,카야토스트by브리오슈,23224.0
P123-224020300-0222,크로와상 샌드위치,23224.0
P123-224020300-0223,투썸스크램블에그,23224.0
P123-224020300-0224,투썸크로크무슈,23224.0
P123-224020300-0225,핫 치킨 모짜렐라 토스트,23224.0
P123-224020300-0226,햄치즈 토마토 치아바타,23224.0
P123-224020300-0227,햄치즈 포켓토스트 by.브리오슈,23224.0
P123-224020300-0228,햄치즈토스트by브리오슈,23224.0
P123-224020300-0229,1am 닭가슴살 대만 호밀 샌드위치 대파크림,23224.0
P123-224020300-0230,1am 닭가슴살 대만 호밀 샌드위치 카야,23224.0
P123-224020300-0231,X2딸기크림 샌드,23224.0
P123-224020300-0232,갈릭콘치즈토스트by플레인,23224.0
P123-224020300-0233,그릴드비프치즈 샌드위치,23224.0
P123-224020300-0234,닭가슴살토스트by플레인,23224.0
P123-224020300-0203,굽네 에그햄치즈 브리오슈 토스트,23224.0
P123-224020300-0204,굽네 카야 브리오슈 토스트,23224.0
P123-224020300-0205,그릭치킨샌드위치(냉동),23224.0
P123-224020300-0206,그릴드치킨&어니언치아바타,23224.0
P123-224020300-0207,닭가슴살토스트by브리오슈,23224.0
P123-224020300-0208,모짜렐라 치폴레 치킨 샌드위치,23224.0
P123-224020300-0209,바나프레소 오리지널 머핀,23224.0
P123-224020300-0210,바질마요 올리브치아바타,23224.0
P123-224020300-0211,베이컨 에그 브리오쉬,23224.0
P123-224020300-0212,설빙 인절미토스트,23224.0
P123-224020300-0213,숯불불고기토스트by브리오슈,23224.0
P123-224020300-0214,숯불불고기포켓토스트by브리오슈,23224.0
P123-224020300-0215,언리미트 프로틴 잉글리시 머핀,23224.0
P123-224020300-0216,에그햄치즈토스트by브리오슈,23224.0
P123-224020300-0217,에그햄치즈포켓토스트by브리오슈,23224.0
P123-224020300-0218,잇츠베러 프로틴 식물성 불고기 베이글 샌드위치,23224.0
P123-224020300-0187,플레로티나시고랭안토니오브리또,23224.0
P123-224020300-0188,플레로티커리파블로브리또,23224.0
P123-224020300-0189,하와이안브리또,23224.0
P123-224020300-0190,한품닭가슴살브리또,23224.0
P123-224020300-0191,한품비프브리또,23224.0
P123-224020300-0192,할라피뇨모짜렐라치킨치아바타,23224.0
P123-224020300-0193,핫스파이시치킨브리또,23224.0
P123-224020300-0194,핫치즈비프치아바타,23224.0
P123-224020300-0195,핫치킨브리또[(주)테이트],23224.0
P123-224020300-0196,핫치킨브리또[남향푸드또띠아(주)],23224.0
P123-224020300-0197,햄모짜렐라치즈파니니,23224.0
P123-224020300-0198,햄치즈샌드,23224.0
P123-224020300-0199,햄크림치즈치아바타,23224.0
P123-224020300-0200,F.불고기치아바타,23224.0
P123-224020300-0201,갈릭콘치즈토스트by브리오슈,23224.0
P123-224020300-0202,갈릭콘치즈포켓토스트by브리오슈,23224.0
P123-226020100-0158,페스토닭가슴살샐러드,23226.0
P123-226020100-0159,하루한컵Fresh,23226.0
P123-226020100-0160,하루한컵Sweet,23226.0
P123-226020100-0161,한끼보리샐러드,23226.0
P123-226020100-0162,한스푼갈릭쉬림프샐러드,23226.0
P123-226020100-0163,한스푼두부샐러드,23226.0
P123-226020100-0164,한스푼로스트치킨샐러드,23226.0
P123-226020100-0165,한스푼리코타치즈,23226.0
P123-226020100-0166,한스푼샐러드콥,23226.0
P123-226020100-0167,한스푼시저샐러드,23226.0
P123-226020100-0168,홀리셔스샐러드,23226.0
P123-226020100-0169,훈제닭가슴살샐러드[(주)에이타워],23226.0
P123-226020100-0170,훈제닭가슴살샐러드[농업회사법인(주)반디],23226.0
P123-226020100-0171,훈제닭가슴샐러드,23226.0
P123-226020100-0172,훈제란&파프리카샐러드,23226.0
P123-226020100-0173,훈제란파프리카샐러드,23226.0
